name,description,country,founding_date,relevancy
Zigtag,"Zigtag is an intelligent, semantic, social bookmarking service. The Zigtag sidebar provides both an intuitive way of tagging web pages (using descriptive words or phrases) and a user-friendly way of quickly retrieving tagged pages.
 
Users tag web pages with semantic tags (tags which have definitions) e.g. if you tag a page with ""Apple"" you can choose ""Apple (computer company)"", ""Apple (fruit)"", ""Apple (record label)"" etc.  Pages can be retrieved using any of the tags which were previously entered or using synonyms for those tags, e.g. a page tagged with ""Car"" can be retrieved by searching for pages tagged with ""Car"" or ""Automobile"" (Zigtag understands Car and Automobile are the same). This allows you to:
 * Keep your tag space organized — you don't end up with ""New_York,"" ""New-York"" and ""NewYork"" — Zigtag has only one ""New York (the city)"" (although you can search for using ""NY,"" ""NYC"" or even ""Big Apple"")
 * Search for your bookmarks quickly and efficiently — the type-ahead helps you choose from tags you've used and also shows their definitions
 * Find what others have tagged effectively — no confusion between ""Stock (soup base),"" ""Stock (equities)"" or ""Stock (inventory)""
 
Zigtag also has a major social networking component; you can see what your friends are tagging and create and join special interest groups. The sidebar notifies you when your friends tag something new, and a news feed allows you to see what your friends are tagging at a glance. It's kind of a ""personal Digg""—your friends' interesting sites are likely to be interesting to you. Zigtag groups form the focal point for collaboration and a central gathering point for people with shared interests.",Canada,2006-10-01,1
Conifer Realty,"Conifer is a full-service real estate company that develops, constructs, owns and manages high-quality, affordable housing communities. Since its inception, Conifer has developed and/or acquired over 250 properties and over 19,000 units. Currently, we own and manage over 13,500 apartment units throughout New York, New Jersey, Pennsylvania, Maryland and Ohio.",United States,1975-01-01,0
TenderSpace,"TenderSpace provides an online application to owners, project managers, general contractors, subcontractors, trades and suppliers to connect with each other for physical resources or services. Service providers like contractors or specialists create a profile, owners send their requirements to get quotes and pick service providers. Suppliers can list their products and contractors can search and buy products using it 'Sercha' feature. Also, provides an online cost analysis tools and a finance checker to assess the finances of potential business partners. Offered on a freemium model with the premium version pricing starting at £250 per annum for 2 users.",United States,2015-01-01,2
Skedler,"Skedler is the self-service automated data monitoring solution that companies use to automate the delivery of metrics, trends, and anomalies to customers and stakeholders.",United States,2018-01-10,2
Wyld Research LTD,Wyld Research LTD is creating innovative Mobility-as-a-Service solutions.,United Kingdom,2015-11-13,0
Estudios Tecnicos,"Estudios Tecnicos S.A. is operates as a engineering project supervision and management company. The company mainly serves the energy, infrastructure, construction, and public services sectors.",Colombia,1964-01-01,0
FieldLogix - Industrial IoT,"Provider of a disruptive fleet & workforce management solutions for organizations throughout North America.

Our Industrial IoT platform and applications are used for:

- GPS fleet tracking
- Driver management
- Asset tracking
- Mobile dispatching
- Mobile timekeeping
- Field worker tracking",United States,2002-07-01,2
Texas Trophy Remodeling,"We are a full-service custom remodeling company located in Arlington, TX. We proudly provide top-quality kitchen, bathroom, and other home remodeling and renovation services to discerning homeowners across the greater Dallas-Fort Worth area.

From cosmetic renovations to whole-house remodeling projects, our team of managers, subcontractors, and specialists have the dedication, skill, and experience to turn your dreams into a reality. We are dedicated to transforming your house into the dream home that you’ve always wanted.

Whether you’d simply like to renovate a kitchen or bathroom, or you have a complete set of architectural plans for a home addition, we are able to serve all of your home remodeling and renovation needs.

Since remodeling is our only specialty, our knowledge about our craft is comprehensive, and our passion runs deep. We continually strive for the highest levels of quality and excellence in everything we do.

We have extensive experience in remodeling and renovating homes in the North Texas area. Our managers and crews have decades of combined experience, and have the talent and resources available to provide you with a truly stunning outcome.

Our mission at Texas Trophy Remodeling is to improve our customers lives through completing top-quality home remodeling, and providing exceptional customer service. To that end, we strive for a finished quality of work that is worthy of recognition and awards, and a service-experience that delights our customers in thoughtful and unexpected ways.

While we take great pride in the quality of our work, we also take great pride in caring for our clients. Each and every client matters to us, and our top priorities are to ensure that we complete your project with the highest level of quality, and to ensure that you enjoy the process along the way.",United States,2019-01-01,0
Seymour Whyte,"Seymour Whyte has always taken pride in the fact that we deliver projects safely, with minimal or no environmental impacts, and with respect for local communities. For the construction and civil engineering sector, sustainability is about the optimisation of all activities related to the delivery of infrastructure—from procurement to supply chain management, to design, planning and delivery, participation and collaboration with internal and external stakeholders—in a way that minimises waste, maximises efficiency and benefits, and does not have harmful effects on resources, surroundings, society and the environment.",Australia,1987-01-01,0
Ohio Junk Force,"Got Junk?  Cleveland Junk Removal Company Kicks Trash to the Curb!
 
Most homeowners and businesses know how fast trash piles up. It’s overwhelming, and tackling it yourself is messy, time-consuming and expensive. Fear not – professional junk removal is the answer to your woes.
 
Ohio Junk Force, the number one Ohio-owned and operated rubbish and Junk removal company, is the solution to all your garbage collection needs. Junk Force knows that trash isn’t just unsightly – it’s an emotional and financial burden.
 
Let Ohio Junk Force haul away your junk. From household waste to small appliances, from electronics to construction materials and more, the Ohio Junk Force team can handle practically any non-hazardous items.
 
We even perform light demolition, dismantling unwanted, unused or unsightly decks, fences and sheds. And unlike other waste removal companies, we play our part in a more sustainable future, diverting as many collected items as possible to charities and recycling centers!
 
We make rubbish removal easy. You can kick back, relax and put your feet up, while our friendly team of trash removal experts loads, lifts, bags and cleans. Before we go, we’ll sweep up – and ensure that you’re completely satisfied.  
 
Stop letting junk get you down in the dumps. Make a fresh start. Call Ohio Junk Force at 1-888-998-JUNK, or drop us a line today! We’ll give you a no-obligation quote – and our prices are guaranteed!",United States,2010-01-01,0
ISS Pluralis,ISS Pluralis provider of building and construction planning and consulting services.,Germany,2002-01-01,1
GoFoxBox,"About us
GoFoxBox is the most ecological way to move. Unlike traditional moving boxes, moving boxes or banana boxes, the FoxBox can be reused up to 500 times. This can make a significant contribution to the reduction of the ecological footprint.",Austria,2015-01-01,0
Design Ghar,"DesignGhar is an online marketplace for construction and building material including TMT steel, bricks, cement, aggregate and plywoods, planks, paint, electrical parts, plumbing and sanitary products, fire alarms and security fittings etc. Has started a few initiatives including 'home services' for buyer support, 'interior and architectural designs' which are available on request.",India,2015-01-01,2
TradeTapp,"TradeTapp provides a cloud-based pre-construction contractor network and prequalification software. Provides vendor insights including financial benchmarking, performance trends, and other custom parameters; risk analysis and mitigation strategy; and prequalification performance tracking. Also, users can quantify vendor risks and monitor the efficiency of the prequalification process. Customers include Urban Atelier Group, New Line Structures, Aecom Tishman, Hunter Roberts Construction Group, UAG among others.",United States,2015-01-01,2
Zeew,"Zeew is Latvian startup that offers on-demand delivery to businesses, we're changing the way people think about shipping and delivery. Not that long ago we were just an app to request delivery. Now we're a part of the logistical fabric across Riga, wither it is a sandwich, or a package, we use technology to give people what they want, when they want it. We use taxi's on the road to deliver goods from businesses to clients (B2C) as well clients to clients (C2C)",Latvia,2017-09-10,0
e-on software,"E-on software provides solutions for the digital content creation and 3D visualization for architects and designers and filmmakers. Offers products Vue and PlantFactory for designers to create digital content and environments with use cases in media &amp; entertainment, science, and education sectors. LumenRT is a software for architectural visualization allowing creating images, videos, and multimedia presentations from BIM and 3D models. Accepts models from MicroStation, AutoDesk, Revit, GraphiSoft ArchiCAD, and SketchUp.",France,1997-01-01,2
eBizFrame,"eBizFrame is a cloud-based ERP solution for the multiple industries. Modules offered by the solution include finance, sales, materials, manufacturing, human capital, and MIS reporting. The solution is offered as an on-premise installation as well. Compass Oleum, Forewin Ghana, Gandhi Tubes, and Dalma Energy constitute their clientele.",India,2000-01-01,2
"Giant Cement Holding, Inc","Giant Cement Holding, Inc. manufactures and sells cement. The company offers grey, white, special, and high-performance cements; and aggregates. It also processes industrial waste, hazardous and non-hazardous liquid waste and wastewater, hazardous and non-hazardous solid and sludge waste, aerosols, solvents, and other waste materials to produce cement.",United States,1994-01-01,2
GoExpedi,"GoExpedi (www.goexpedi.com) is re-inventing rig servicing for the North American oilfields.  Called the Amazon meets Uber for shale drillers, GoExpedi has created a fully on-line, rapid-delivery means of supplying critical parts to keep rigs up-and-running 24/7.  

GoExpedi provides over 200,000 critical parts and supplies, with complete transparency on price, supplier choice, and availability through their online website.  Their innovative supply chain model has created a business that delivers the right part, at the right time, overcoming a fundamental challenge for the industry.  Staffed by experts with rig management experience, backed by innovative technology, GoExpedi is able to deliver an incredible service at a lower cost than traditional suppliers.",United States,2017-01-01,0
Ferrovial,"Ferrovial is one of the world's leading developers of transport infrastructure, with over 96,000 employees in more than 25 countries and four main business lines: toll roads, services, construction and airports. The company is listed in the Madrid Stock Exchange and is included in the prestigious Dow Jones Sustainability and FTSE4Good indices.",Spain,1952-01-01,0
Concretum Construction Science,"The purpose of the company is to provide services (such as consulting, research, system development, training and expertise) in the field of construction materials, as well as the development, production and sale of products for the manufacture and refining of cementitious building materials. The Company may acquire, charge, manage and sell real estate and interests in other domestic and foreign companies.",Switzerland,2002-01-01,0
yellooboard,Yellooboard aim to create a value ecosystem that incorporates the resources of both organised and unorganised sectors of transportation to minimise inefficiencies and maximise revenue.,India,2015-01-01,1
Veldeman,"Veldeman is a world player in the field of the development, production, sale and hire of aluminium and steel structures.",Belgium,1970-01-01,0
KPD-Cargo,KPD-Cargo is a logistics services provider based in Moscow.,Russian Federation,2001-01-01,0
Link Logistics Corp," A licensed freight management and property broker, Link Logistics, Corp provides short haul /long haul trucking and intermodal transportation services throughout the United States. Our philosophy is to provide you and your business with expedited, reliable, and secure delivery services. 
Operating independently, we have partnerships and connections within the industry that allow us to provide you with more options. From lumber and building materials to heavy equipment and export cargo, we can transport your materials and freight for less. Our Dispatch center is open 24/7 to assist you with any  shipping and logistics needs.  Track your shipment at no additional cost to you.",United States,2017-06-06,0
Batim Africa,"BATIM Africa engages in the land development and construction of housing facilities primarily in Côte d'Ivoire, Mali, and Angola.

The company was founded in 1989 and is based in Abidjan, Ivory Coast.",Ivory Coast,1989-03-01,0
Logistadvise,Logistadvise is an online platform for companies to manage and find new transportation carriers that meet their supply chain requirements. Logistadvise revolutionizes the transportation industry with its algorithm based system and big data analytics on every carrier in the industry.,Canada,2014-02-06,0
Montupet,Montupet designs and manufactures cast aluminium components for the automotive industry worldwide. The company develops and produces cast and machined parts for a range of car manufacturers and Tier-1 suppliers.,France,1894-01-01,1
Transaldeia,"A company that was born in 2008 and who has been growing year after year, with a goal to always serve better",Brazil,2008-08-01,0
Fourier Electric,"Fourier Electric creates innovative solutions for everyday problems. It was founded on May 25, 2012, and is based in Orlando, Florida, United States.",United States,2012-05-25,0
Brüken,Brüken is a company with experience on distributing construction fittings and harware.,Mexico,2008-01-01,0
takealot.com,"takealot.com is one of SA's largest online retailers with 9+ million products to choose from across 17 categories. Order online & we'll deliver anywhere in SA!  Founded in 2011, takealot.com's mission is to be the most customer-centric online shopping destination in Africa, built around the simple concept that the customer comes first.

All of our focus is dedicated to improving the customer experience, from the moment they arrive on our website to the moment their order arrives at their door. By aligning ourselves to this philosophy, we believe takealot.com will be the #1  shopping destination across Africa.",South Africa,2010-10-11,2
Construction Testing Solutions,"Construction Testing Solutions provides on-site testing and laboratory services to the construction, quarry products and civil engineering industries across the whole of the UK.",United Kingdom,2006-01-01,0
SiteMax Systems,"SiteMax Systems helps contractors in field management through their web and mobile software. Its features include scheduling with critical path method, worker and machinery usage time entry, daily event logging, photo pooling, tool tracking with QR codes, document management, digital purchase order systems, messaging system and web portal for each project that can be shared with the client for viewing real-time project information. Launched BuildBoom, a social network for construction professionals.",Canada,2013-01-01,2
Stett Transportation,"Stett Transportation is a certified woman-owned logistics 3PL that specializes in shipping liquid bulk throughout the continental United States and Canada.  Liquids can range from oils & lubricants to chemicals & solvents, as well as food-grade products.  Stett Transportation is a member of the following organizations: WBENC, NACD, NTTC, TIA, EIA, and EO.  Stett has an A+ rating with the Better Business Bureau and was recently named one of the Cincinnati Business Courier's ""Best Places to Work""​, as well as Inc. Magazine's 5,000 fastest-growing private companies in America.",United States,1995-01-01,0
TopShelf,"TopShelf is a technology company that increases efficiency within the liquor industry. Their first application connects users with local liquor stores for a high quality, alcohol delivery experience. 

TopShelf was chosen to participate in the 2015 SXSW Startup Spotlight while simultaneously launching in Austin, Texas. The service has since expanded to Houston, Dallas, and San Marcos. The app has generated 78% month-on-month revenue growth for our partner liquor stores in the short time they have been live.",United States,2014-01-01,0
BidRazor,BidRazor is a web application designed to expedite construction bids. Estimates the bid values by using the floor plan created by the integration of the app with MagicPlan and inputting the cost of materials and labour. Pricing ranges from $8 to $25 per user per month.,United States,2012-01-01,2
Kahua,"Kahua, formerly know as Integrated Lifecycle Solutions, was founded by the founders of Constructware, which was later acquired by Autodesk in 2006. Its PaaS platform helps developers customize, develop and deploy mobile and cloud-based collaboration solutions for construction project management. Along with its platform, it also develops a file management and cost management software. Claims to be developing a scheduling software. Claims to have over 1000 customers, with over 50 apps in Kahua’s public kStore and over 100 private applications. Pricing starts with $690 per user per year for the Kahua platform, file manager and document management features.",United States,2009-01-01,2
Lange Containment Systems,"LCSI is a premier fabricator and installer of geomembranes and other geosynthetic liners. Based out of Denver, Colorado, USA, this Global Cover and Liner company produces only the highest quality containment products and prides itself on the service and personalization that sets it apart from its competitors. Using long-lasting materials and detail-oriented fabrication and installation processes, we pride ourselves on delivering turnkey containment solutions for even the most demanding applications.",United States,1994-01-01,1
Amware,"Amware Logistics is a 3rd Party Logistics Company that is dedicated to craftsmanship in delivering customer-focused, quality-driven, cost-appropriate logistics solutions for our customers. We provide logistics solutions through our domestic warehouses throughout the US and in the Toronto, Canada area. Our 3rd party logistics (3PL) services include warehousing, transportation, handling, B-to-B and B-to-C order fulfillment, and many more. We have a vast array of specialty warehousing solutions for industries including food grade certified facilities, NACD hazmat certified chemical storage facilities, and pharmaceutical industries.",United States,1989-01-01,2
New Life Painting,New Life Painting is a residential and commercial painting contractor that serves California's Central Coast.,United States,1977-01-01,0
Wheelhaus,"Wheelhaus provides mobile prefabricated building structures ranging from single story camps to multi-storied buildings. Claims to complete the fabrication work within 3-4 months after order along with 3-5 days of setup duration. Has a list of eight pre-designed structures which can be ordered directly or modified upon. Pricing varies between $85,900-$365,000. Claims to have the Gold standard with the U.S. Green Building Council.",United States,2013-01-01,0
Josef Rehms GmbH,"The company Josef Rehms GmbH was founded in 1939 in Borken. With over 250 employees 
, we work in the field of technical building 
equipment in the following sectors: heating, sanitation, gas systems, ventilation and air conditioning, electrical, control (MSR) and refrigeration.

We install and maintain technical installations for public, commercial and private 
clients in hotels, industrial, residential and office buildings.",Germany,1939-01-01,0
CUBETECH,CUBETECH is a System construction consulting company.,Japan,1999-09-01,0
Tookan,"Tookan provides iOS and android application to manage the field workforce. Tookan offer streamline operations with effective and efficient manager dashboard for real time tracking of orders and seamless communication.

Tookan streamline all your business operations and saves time & cost with intelligent dispatching. Engage your customer with real time tracking throughout the order lifecycle.Stay updated by tracking orders with customized alerts and resolve issues proactively.

Tookan, field service management platform helps to automate the tasks of delivery management and inventory management by offering features like real-time tracking, optimised routes, proof of delivery, rating and feedback and many more.",United States,2015-01-15,2
Glaass,Glaass is the smart Dropbox for the construction industry,Denmark,2015-01-01,2
Lookers,"Lookers plc operates as a motor retail and aftersales company in the United Kingdom. The Company operates through two business segments: motor distribution and parts distribution. The motor division consists of over 150 franchised dealerships representing over 30 marques from approximately 100 locations. Aftersales represents the servicing, repair and sale of franchised parts to customers' vehicles.",United Kingdom,1908-01-01,0
Impact Solutions,"Impact Solutions is a full line marketing, technology and logistics company.",United States,1983-01-01,0
Azure Dynamics Corporation,"Azure Dynamics Corporation (TSX: AZD)(OTC: AZDDF) is a world leader in the development and production of hybrid electric and electric components and powertrain systems for commercial vehicles.  Azure is strategically targeting the commercial delivery vehicle and shuttle bus markets and is currently working internationally with a variety of partners and customers. The Company is committed to providing customers and partners with innovative, cost-efficient, and environmentally-friendly energy management solutions.",Italy,1999-01-01,0
Tailwind Transportation Software,"Tailwind Transportation Software Ltd. creates software solutions for freight brokers, carriers, and other shippers. It was founded in 2002 by professional freight brokers that want to advance the transportation industry. Tailwind’s mission is to provide software solutions that maximize efficiency while minimizing cost.",Canada,2002-01-01,1
Kubla,"Kubla is creating applications for engineering, surveying and construction professionals. Their solutions are used globally, on projects ranging from the design of dredging works to the everyday production of accurate earthworks bids. Their software products are developed in-house, by specialists in engineering, surveying and graphical visualisation. Kubla is developing bespoke and off-the-shelf solutions which are both cutting-edge and extremely easy to use. By focussing on software design and support we allow our users to concentrate on engineering problems instead of software problems.",United Kingdom,2013-01-01,1
Buzzmeeh.com,"Buzzmeeh is an online mobile repair platform which intends to fill existing gap in mobile repair industry by innovative & quality service delivery, cutting edge technology, trained manpower& transparent pricing. We started our journey in autumn 2015 from Delhi NCR. We have served more than 6000 customers & growing by 30% MOM.
Buzzmeeh provides door step mobile repair service at customer's preferred time and location. We also provide logistics  and quality support to e commerce new and refurbished mobile seller. Currently, we are operating in Delhi NCR and intend to increase footprint across major cities of countries.",United Kingdom,2015-10-14,0
Illinois Glassworks,"Since 1977, GlassWorks has been Chicagoland’s leading glass installer. In February of 2011, GlassWorks combined with Arcadia Residential, Inc. Operating under one name, GlassWorks now offers the full line of Arcadia Doors and Windows, along with an advanced manufacturing facility, fleet of vehicles, and over 40 employees.

GlassWorks’ dedicated team of sales people, project managers, fabricators, and installers ready to serve your residential or commercial glass needs!",United States,1977-01-01,0
Elementis Logistics Solutions,Development of advanced Cloud Based solutions for logistics providers and logistics related businesses,United States,2013-05-01,1
Altrad Beaver 84,"Beaver 84 is the UK’s one-stop shop for non-mechanical construction equipment for hire and sale.

With over 30 years in the industry, Beaver 84 is one of the UK’s leading suppliers of temporary fencing, excavation safety equipment, scaffolding and Edge Protection Solutions. In addition, our subsidiary, Star Events Ltd, has been supplying equipment and services to the events industry for over 40 years.

Our Services
Our dedicated, experienced and knowledgeable team can support you in sourcing a range of top quality products to suit any budget. We can advise and assist on any project from fencing wind calculations to designs for system scaffold, excavation safety and edge protection, all the while working to your schedule to ensure you meet your project deadline.

Quality, Safety Tested Products
We only include quality, safety assured equipment across our entire product range for both hire and sale. We also supply several industry-leading innovations such as Plettac Contur: the No. 1 Multidirectional System Scaffold and market-leading Edge Protection Solutions that protect against the industry’s biggest killer; falls from height.

Full UK Coverage & Hiab Fleet
With branches nationwide we have full UK coverage to ensure that your equipment is delivered wherever and whenever you need it. Our dedicated Hiab fleet means we also offer extremely competitively priced logistics.",United Kingdom,1984-01-01,0
MRC Global,"As the Global Supplier of Choice, MRC is the world's largest distributor of pipe, valves, and fitting products and services to the energy industry. MRC brings products and services to the market from more than 410 service locations around the globe along with the knowledge and expertise of over 4,500 employees. MRC is exclusively geared toward the distribution of pipe, valve and fitting products to the energy and industrial sectors. Our company culture embodies our simple philosophy to deliver the best customer service in PVF distribution. For information on career opportunities, visit mrcglobal.com and create a profile or email talent@mrcpvf.com.",United States,1921-01-01,0
Truss,"Developer of an online platform designed to simplify the leasing process process of small- to medium-sized office spaces. The company's online platform allows users to list real estate for free, track listings, show real estate virtually, immediately receive feedback on tours & spaces and manage all documents in one place, enabling small- to medium-sized office retailers to control the leasing process in one place.",Japan,2014-01-01,0
Tamer Construction,"Tamer Construction – the top Cleveland construction and home remodeling company for 28 years – knows that a house isn’t a home until you make it your own.
 
Kitchens, bathrooms, basements – and all the other rooms in your house – comprise the space in which you live your daily life. It’s important that your home doesn’t just look great, but that it feels great, matching and meeting your lifestyle and needs.
 
We’ve been remodeling Cleveland homes since 1988. Our nearly three decades of experience as an Ohio-area home design, remodel and renovation firm is reflected in the standards of excellence to which we hold ourselves in every project – as well as stellar customer reviews, and our distinction as the number one-rated, award-winning Cleveland home improvement company.
 
As a Better Business Bureau, National Association of the Remodeling Industry, and National Kitchen & Bath Association-affiliated Cleveland construction company, Tamer Construction is your trusted choice for kitchen and bathroom design and remodeling, basement finishing, room additions, in-law suites and more.
 
From concept to completion, we pride ourselves on providing Cleveland homeowners with outstanding home remodeling services – on-budget, well-planned, accurate, and always to your satisfaction. Transform your house into a home you’ll love to live in – contact Tamer Construction today!",United States,1988-01-01,0
BuildCalc,"BuildCalc is the easiest and most advanced Construction Calculator App for the iPhone, iPad, iPod touch and Android devices",United States,2009-01-01,2
ArtRunners Ltd,"A revolutionary marketplace that allows collectors, galleries, auctions and registrars to obtain multiple and standardized shipping quotes.",United Kingdom,2015-02-01,2
HomeAdditionPlus,"HomeAdditionPlus.com is the resource for building home additions and custom homes, and for providing assistance on many other DIY Home Improvement and DIY home addition / remodeling projects.",United States,2005-02-17,1
Specialty Welding and Turnarounds (SWAT),"Specialty Welding and Turnarounds provides specialty welding and turnaround services to refinery, petrochemical and industrial companies.",United States,2014-01-01,0
Stone Cycling,"They started StoneCycling in 2013, seeing both a need and an opportunity to come up with a new type of building material: one whose main input is the waste they all produce. A more sustainable and circular material that proves it’s possible to build high-quality structures from waste.
Just as important to their work is design: as we develop the next generation of building materials, we refuse to compromise aesthetically. Beyond functionality, they’re committed to proving that waste can be a resource that opens up a new range of beautiful and surprising forms, textures, and colours.",Netherlands,2012-01-01,1
"Boxbee, Inc.",We pioneered On-Demand Storage in NYC and San Francisco and then built a software platform that powers on-demand self-storage companies around the world.  Boxbee was acquired by Iron Mountain in 2016.,United States,2012-01-01,1
FS 360,"FS 360 is a general contracting  company committed to producing results with passion, discipline, and integrity. The company specializes in aviation, logistics, education, food and beverage, government, manufacturing, and retail industries.

FS 360 supports its clients in three core areas: Facilities Sustainability, Building/Office Renovation, and New Construction projects. Its philosophy is to build long-term relationships with its clients and support their ongoing construction requirements over the entire life cycle of their facilities.",United States,2008-01-01,0
nyfty.ai,"NYFTY.AI is an AI based voice assistant for construction that makes construction easier with the power and simplicity of voice . It does the work you hate.
Construction in USA wastes over $200B On Avoidable Mistakes, Rework - Due to miscommunication, inaccurate data, fixing mistakes, looking for data and managing conflict.
The team includes 2nd time founder Matt Edwards and Machine Learning expert David Ewen.",United States,2018-07-19,2
Chegue.lá,"Chegue.Lá is a website and created to make life easier and helps you in time to plan for those who use the bus to travel. It is a site that aggregates information of road companies and their itineraries, suggests the route options and performs integrated ticketing.

Chegue.Lá was founded in 2012 and is headquartered in Sao Paulo, Brazil.",Brazil,2012-01-01,0
Zipline International,"Zipline is a Silicon Valley-based logistics company that designs, manufactures, and operates small robot aircraft to deliver essential medical products. They build products that improve access to healthcare and saves lives. Zipline created Zip, a small robot airplane designed for a high level of safety, using many of the same approaches as commercial airliners. It can carry vaccines, medicine, or blood.",United States,2011-08-01,0
OCAM ACCESSORIES,"We all know that cars are a staple of modern life. It's practically impossible to get things done on time in a big city without the help of a functional vehicle. That's precisely why making sure your car is and stays in excellent condition is a must.
We at OCAM 4X4 Accessories, driven by the fact that 4X4 cars are quite an investment for most of us, offer our customers a wide range of quality aftermarket 4X4 accessories at the most competitive prices. Bull and rear bars, side steps, brush bars, bash plates, weathershields, recovery kits, hi lift jacks & accessories, winches, snorkels, flares, aluminium roof racks, jump starters, and batteries are only some of the products we supply.
We pride ourselves on distributing products that are backed with a 100% satisfaction guarantee. If our products leave you disappointed, you can return them and receive a full refund. Customer support and honesty are two of our core values, which is why we encourage you to give us a call or e-mail us if you have any questions or confusions. We are here for you.",Australia,2011-08-18,0
XYZ Reality,"XYZ Reality is disrupting the construction industry with a unique Augmented Reality solution that is able to reduce task times by up to 64%.

For the first time, users are able to walk on site and view their 3D BIM Model, in context according to the site coordinate system, using Augmented Reality. No more disputes, no more out of tolerance errors and instant validation.

Visit out website to find out more.",United Kingdom,2017-03-07,2
BTS Tower Development,BTS Tower Development deliver Building Permit Solutions to industries all across the United States.,United States,2007-01-01,0
Instructional Technologies,"Provider of truck driver training system. The company develops a fleet learning management system which helps train truck drivers and includes courses covering defensive driving, hazmat regulations, forklift operations and emergency planning.",Canada,1995-01-01,1
Berntsen International,"Berntsen International is a manufacturer of utility markers, survey monuments, survey markers, and other related accessories. It also offers over 100 different markers and a wide variety of survey supplies. The company also have an Inframarker RFID (Radio Frequency Identification) system for location, verification, and documentation of underground assets. 

Berntsen International provides products including construction marking products, 811 call before you dig markers, signs & witness posts, utility marking products, bronze plaques, storm drain markers, trail marking products, pet waster markers, concrete name stamps, trail & path markers, drone targets, and construction flagging.

Berntsen International was founded in 1972 by Phillip Peterson and Peter Berntsen and is headquartered in Madison, Wisconsin, USA.",United States,1972-01-01,0
American Track Generations,"American Track Generations is a railroad construction and maintenance company.  Our top management has over 90 years of experience in the industry.  Our crews are all experienced in railroad services and many have worked in this field for numerous years.  Our roots in the railroad industry goes back over 160 years.

They have experience in all areas of construction, maintenance and design and would be honored to be able to help you solve any railroad needs your company may have.  Please give us a call and we will have someone meet with you to assess your needs.",United States,2007-01-01,0
Computime,"Computime provides a wide range of services, including high-tech sales and consultations, distribution, logistics, asset management, post-sales support, and marketing services. Their growth and profitability are a reward of customer service levels meant to set the highest expectations.",United States,1980-01-01,0
Ace Cargo LLC,Ace Cargo LLC provides logistic services.,United States,1997-01-01,0
Wraith plc,Wraith plc offers hiring and selling flexible accommodation units in the United Kingdom.,United Kingdom,1997-01-01,0
Grid Supply Chain,"Grid aggregates supply and demand and enables shippers, carriers and freight forwarders to seamlessly share, communicate and collaborate logistics with end-to-end real-time visibility on shipments and processes.

We help ecosystem actors to save time, money and security stress through our collaborative logistics cost saving platform",Egypt,2015-06-01,2
Urban3D,"Urban3D is developing a 3D printer capable of automating construction and all necessary high tech material. It has developed a new concrete, which is made of recycled composites. Claims to have same structural properties as a concrete but costing 30% lesser. The founder was one among ten people to be awarded ""Under 35 year Innovators Brazil"" by MIT Technology Review.",Brazil,2015-01-01,2
Infento Rides,World's first real contructible rides.,Netherlands,2010-09-01,0
Ornua,"They listen to their customers, develop products to meet their needs and create brand and marketing campaigns that inspire and engage.

The milk is delivered to the processor where it is transformed into quality dairy products that are full of taste and loved by consumers around the world.

It all begins with the Irish dairy cow. Irishgrass-fed cows produce rich, creamy milk full ofnatural goodness.",Ireland,1961-01-01,0
Retco Sp. z o. o.,"Retco is an independent platform providing complex ecommerce solutions for all types of partners.
We offer a cost-effective end-to-end service for shipping and excellent returns solution.
We also design processes with our partners and adjust to nonstandard needs.
 
Our central location is in Poland. Our expertise covers all countries within Central and Eastern Europe. Obviously, we also offer service in other countries.",Brazil,2017-01-01,0
Flagstone,"Flagstone is focused on the development of automation solutions for production and logistics companies.

Flagstone offers services that focus on automatic warehouses, upgrades of older factories, converting machines to smart machines, creating EDI interfacing, traceability of smart objects, and custom software development. Furthermore, it offers its customers with software implementation and interface designing services.

Flagstone was founded in August 2015 by Tsjelle Stevens and Jurgen Dekeyser. It is headquartered in Harelbeke, Belgium.",Belgium,2015-08-18,1
Havelock Europa Plc,"Havelock is a key player in the interiors market, both in the UK and internationally. Havelock provide management contracting that complements our services in design, manufacture, kitting and logistics and the installation of furniture.
",United Kingdom,1963-01-01,2
Geop Assistance,Geop Assistance is a privately held general building company specializing in the repair of IRD claims that intervenes throughout France.,France,2000-01-01,0
Greenhorne & O'Mara,"Greenhorne & O'Mara, Inc. provides consulting engineering services to federal, state, municipal, and private sectors in the United States and overseas. It offers services in the areas of infrastructure and design, technology and geographic information systems, hazardous materials/hazardous wastes, hazards mitigation, transportation, environmental planning and compliance, water resources, natural resources, and cultural resources.",United States,1950-01-01,0
TowerCo,TowerCo is a privately held company that designs and constructs multi-operator installations on motorway sites to house antennae.,Italy,2003-01-01,0
Entreprise Pichenot Bouillé S.A.,Entreprise Pichenot Bouillé S.A. maintains and renovates railway tracks.,France,1981-01-01,0
SkyCell,"SkyCell is a Swiss-based, award-winning provider of temperature-controlled container solutions with a special focus on serving global pharma companies and sustainability. They are driven by their mission to supply the safest pharma containers worldwide. This is achieves through their unique combination of hardware, software and service, which enables us to master logistical challenges and eliminate temperature excursion.",Switzerland,2013-01-01,1
LaserShip,LaserShip is a logistics company specialised in supply chain and medical delivery.,Brazil,1986-01-01,0
Ekol Logistics,"Ekol Logistics offers transportation, warehouse management, customs, foreign trade and supply chain management solutions.",Turkey,1990-01-01,0
